2015-09-02T07:08:32.511 -1.95899854e+11 -2.62148152e+11  6.65945735e+09, 1.14540144e+10 -4.19581118e+10 -1.37489054e+09
2015-09-03T00:40:16.062 -1.94956674e+11 -2.62582639e+11  6.59820600e+09, 1.30894175e+10 -3.75174341e+10 -1.39174134e+09
2015-09-03T18:11:59.649 -1.94010550e+11 -2.63013163e+11  6.53685500e+09, 1.46131029e+10 -3.27602721e+10 -1.39677779e+09
2015-09-04T11:43:43.200 -1.93061492e+11 -2.63439707e+11  6.47540514e+09, 1.59669858e+10 -2.76276255e+10 -1.38567304e+09
2015-09-05T05:15:26.752 -1.92109507e+11 -2.63862257e+11  6.41385711e+09, 1.70566951e+10 -2.20456530e+10 -1.35177608e+09
2015-09-05T22:47:10.304 -1.91154603e+11 -2.64280799e+11  6.35221166e+09, 1.77219268e+10 -1.59277449e+10 -1.28445690e+09
2015-09-06T16:18:53.856 -1.90196790e+11 -2.64695319e+11  6.29046952e+09, 1.76803379e+10 -9.19719362e+09 -1.16629760e+09
2015-09-07T09:50:37.407 -1.89236076e+11 -2.65105801e+11  6.22863143e+09, 1.64416140e+10 -1.88626401e+09 -9.69897138e+08
2015-09-08T03:22:20.959 -1.88272469e+11 -2.65512231e+11  6.16669813e+09, 1.33158752e+10  5.57095177e+09 -6.63388639e+08
2015-09-08T20:54:04.511 -1.87305979e+11 -2.65914594e+11  6.10467039e+09, 7.98564263e+09  1.20518718e+10 -2.47982666e+08
2015-09-09T14:25:48.063 -1.86336614e+11 -2.66312876e+11  6.04254893e+09,1.28234314e+09 1.65518973e+10 2.11633069e+08
2015-09-10T07:57:31.615 -1.85364382e+11 -2.66707061e+11  5.98033453e+09,-5.63609670e+09  1.91736513e+10  6.51202842e+08
2015-09-11T01:29:16.129 -1.84389278e+11 -2.67097140e+11  5.91802699e+09,-1.22160626e+10  2.05113930e+10  1.04938463e+09
2015-09-11T19:00:59.681 -1.83411340e+11 -2.67483087e+11  5.85562896e+09,-1.83328337e+10  2.10389180e+10  1.40721812e+09
2015-09-12T12:32:43.233 -1.82430562e+11 -2.67864892e+11  5.79314027e+09,-2.40074604e+10  2.10472790e+10  1.73091062e+09
2015-09-13T06:04:26.785 -1.81446954e+11 -2.68242541e+11  5.73056169e+09,-2.92937548e+10  2.07100436e+10  2.02651626e+09
2015-09-13T23:36:10.336 -1.80460523e+11 -2.68616018e+11  5.66789398e+09,-3.42456782e+10  2.01338408e+10  2.29894612e+09
2015-09-14T17:07:53.888 -1.79471279e+11 -2.68985308e+11  5.60513793e+09,-3.89096813e+10  1.93869421e+10  2.55202317e+09
2015-09-15T10:39:37.440 -1.78479232e+11 -2.69350395e+11  5.54229430e+09,-4.33240973e+10  1.85148398e+10  2.78871566e+09
2015-09-16T04:11:20.992 -1.77484390e+11 -2.69711265e+11  5.47936390e+09,-4.75202714e+10  1.75489363e+10  3.01135101e+09
2015-09-16T21:43:04.543 -1.76486763e+11 -2.70067902e+11  5.41634750e+09,-5.15239089e+10  1.65115764e+10  3.22177927e+09
2015-09-17T15:14:48.095 -1.75486359e+11 -2.70420291e+11  5.35324589e+09,-5.53562486e+10  1.54190779e+10  3.42149212e+09
2015-09-18T08:46:31.647 -1.74483188e+11 -2.70768415e+11  5.29005988e+09,-5.90349999e+10  1.42836248e+10  3.61170889e+09
2015-09-19T02:18:15.199 -1.73477259e+11 -2.71112260e+11  5.22679025e+09,-6.25750690e+10  1.31144901e+10  3.79343902e+09
2015-09-19T19:49:58.751 -1.72468582e+11 -2.71451810e+11  5.16343782e+09,-6.59891174e+10  1.19188486e+10  3.96752786e+09
2015-09-20T13:21:42.302 -1.71457166e+11 -2.71787049e+11  5.10000339e+09,-6.92879937e+10  1.07023319e+10  4.13469084e+09
2015-09-21T06:53:25.854 -1.70443021e+11 -2.72117961e+11  5.03648777e+09,-7.24810676e+10  9.46941589e+09  4.29553919e+09
2015-09-22T00:25:09.406 -1.69426155e+11 -2.72444531e+11  4.97289178e+09,-7.55764917e+10  8.22369724e+09  4.45059962e+09
2015-09-22T17:56:52.958 -1.68406580e+11 -2.72766743e+11  4.90921624e+09,-7.85814080e+10  6.96809403e+09  4.60032954e+09
2015-09-23T11:28:36.509 -1.67384304e+11 -2.73084580e+11  4.84546197e+09,-8.15021128e+10  5.70499410e+09  4.74512903e+09
2015-09-24T05:00:20.061 -1.66359336e+11 -2.73398027e+11  4.78162981e+09,-8.43441889e+10  4.43636614e+09  4.88535026e+09
2015-09-24T22:32:03.613 -1.65331688e+11 -2.73707068e+11  4.71772058e+09,-8.71126124e+10  3.16384412e+09  5.02130508e+09
